SA	Season	Job	AnimalID	Year	N
TR	SU	1	car139	2012	201
TR	SU	0	car106	2010	140
TR	SU	0	car036	2005	3
TR	SU	1	car173	2013	202
TR	SU	1	car138	2011	212
TR	SU	2	car208	2017	43
TR	SU	1	car137	2011	140
TR	SU	2	car192	2018	11
TR	SU	1	car107	2009	123
TR	SU	2	car207	2019	35
TR	SU	0	car036	2004	4
TR	SU	0	car059	2008	179
TR	SU	0	car058	2008	121
TR	SU	0	car045	2006	73
TR	SU	0	car059	2007	181
TR	SU	0	car036	2007	2
TR	SU	0	car036	2006	2
TR	SU	1	car159	2013	217
TR	SU	2	car208	2018	57
TR	RU	1	car207	2018	43
TR	RU	0	car107	2009	119
TR	RU	0	car037	2005	2
TR	RU	0	car036	2004	3
TR	RU	0	car036	2005	2
TR	RU	1	car173	2013	208
TR	RU	1	car192	2017	52
TR	RU	0	car046	2006	38
TR	RU	1	car172	2016	49
TR	RU	1	car139	2011	166
TR	RU	0	car037	2006	2
TR	RU	1	car192	2015	54
TR	RU	1	car159	2015	56
TR	RU	1	car136	2011	165
TR	RU	1	car137	2012	219
TR	RU	0	car057	2008	252
TR	RU	0	car036	2006	2
TR	RU	1	car173	2014	208
TR	RU	0	car106	2010	133
TR	RU	1	car140	2011	157
TR	RU	1	car138	2011	165
TR	RU	0	car106	2009	197
TR	RU	0	car037	2007	3
TR	RU	0	car058	2008	97
TR	RU	0	car126	2010	206
TR	RU	1	car159	2012	199
TR	RU	0	car036	2007	3
TR	RU	1	car172	2014	285
TR	RU	2	car208	2018	53
TR	RU	1	car172	2013	139
TR	RU	2	car208	2019	45
TR	RU	0	car045	2006	241
TR	RU	1	car136	2012	205
TR	RU	1	car159	2013	211
TR	RU	1	car139	2012	208
TR	RU	0	car059	2008	213
TR	RU	0	car037	2004	2
TR	RU	0	car057	2007	246
TR	RU	1	car192	2016	57
TR	RU	1	car140	2012	195
TR	RU	0	car059	2007	231
TR	RU	1	car172	2015	56
TR	RU	2	car208	2017	35
TR	RU	1	car207	2017	44
TR	RU	0	car058	2007	198
BM	CA	2	car146	2011	191
BM	CA	0	car007	2007	3
BM	CA	4	18-13990	2019	76
BM	CA	0	car038	2004	4
BM	CA	1	car074	2008	228
BM	CA	1	car071	2008	194
BM	CA	0	car075	2007	184
BM	CA	2	car163	2013	101
BM	CA	2	car182	2018	25
BM	CA	0	car007	2005	4
BM	CA	3	car189	2018	24
BM	CA	2	car158	2013	203
BM	CA	4	car217	2020	13
BM	CA	0	car069	2007	199
BM	CA	2	car175	2015	44
BM	CA	3	car194	2018	46
BM	CA	0	car070	2008	239
BM	CA	1	car142	2012	108
BM	CA	0	car038	2005	4
BM	CA	0	car041	2005	72
BM	CA	0	car040	2005	72
BM	CA	3	car194	2016	49
BM	CA	1	car074	2007	205
BM	CA	0	car007	2003	2
BM	CA	0	car070	2007	234
BM	CA	1	car113	2010	171
BM	CA	2	car181	2018	37
BM	CA	3	car205	2017	44
BM	CA	4	car217	2018	35
BM	CA	2	car163	2014	127
BM	CA	1	car111	2010	139
BM	CA	3	car190	2015	47
BM	CA	3	car189	2017	35
BM	CA	3	car206	2017	42
BM	CA	2	car146	2012	200
BM	CA	3	car196	2016	51
BM	CA	4	car217	2019	42
BM	CA	2	car143	2012	209
BM	CA	3	car213	2020	19
BM	CA	0	car012	2004	61
BM	CA	3	car214	2018	30
BM	CA	2	car166	2015	72
BM	CA	3	car189	2015	44
BM	CA	3	car194	2017	40
BM	CA	1	car111	2009	206
BM	CA	2	car166	2014	127
BM	CA	3	car190	2017	58
BM	CA	0	car038	2007	1
BM	CA	0	car040	2006	74
BM	CA	3	car190	2018	23
BM	CA	3	car195	2016	42
BM	CA	3	car195	2018	46
BM	CA	0	car075	2008	208
BM	CA	0	car042	2005	76
BM	CA	0	car007	2006	2
BM	CA	0	car068	2008	180
BM	CA	2	car181	2015	55
BM	CA	0	car007	2002	3
BM	CA	3	car194	2020	93
BM	CA	3	car189	2016	46
BM	CA	1	car125	2010	195
BM	CA	2	car143	2014	203
BM	CA	3	car190	2016	37
BM	CA	3	car213	2019	21
BM	CA	2	car163	2015	185
BM	CA	2	car146	2014	2
BM	CA	1	car142	2011	215
BM	CA	1	car110	2009	167
BM	CA	2	car182	2015	51
BM	CA	1	car114	2010	175
BM	CA	1	car071	2007	208
BM	CA	2	car182	2017	55
BM	CA	4	18-13983	2019	106
BM	CA	3	car196	2018	45
BM	CA	3	car188	2016	40
BM	CA	1	car114	2009	205
BM	CA	3	car213	2018	21
BM	CA	3	car195	2017	47
BM	CA	2	car182	2016	44
BM	CA	3	car188	2018	21
BM	CA	3	car206	2019	22
BM	CA	4	18-13983	2020	105
BM	CA	2	car175	2016	22
BM	CA	3	car190	2020	83
BM	CA	1	car113	2009	215
BM	CA	4	19-1758	2020	85
BM	CA	1	car141	2011	213
BM	CA	4	car216	2018	33
BM	CA	2	car143	2011	198
BM	CA	4	car215	2018	24
BM	CA	1	car110	2010	132
BM	CA	2	car152	2011	209
BM	CA	1	car112	2009	87
BM	CA	0	car007	2004	4
BM	CA	0	car012	2003	3
BM	CA	2	car158	2012	212
BM	CA	2	car175	2017	43
BM	CA	3	car196	2020	99
BM	CA	2	car183	2015	8
BM	CA	2	car146	2013	191
BM	CA	2	car143	2013	204
BM	CA	4	19-1762	2020	85
BM	CA	2	car166	2013	111
BM	CA	2	car181	2017	54
BM	CA	3	car188	2015	41
BM	CA	2	car181	2016	48
BM	CA	0	car068	2007	201
BM	CA	0	car038	2006	3
BM	CA	0	car042	2006	71
BM	CA	3	car205	2018	24
BM	CA	4	19-1756	2020	84
BM	CA	0	car041	2006	2
BM	CA	3	car196	2017	50
BM	CA	0	car069	2008	215
BM	CA	3	car206	2018	40
BM	CA	3	car205	2019	29
BM	CA	3	car188	2017	39
BM	SU	1	car110	2009	117
BM	SU	0	car007	2002	5
BM	SU	3	car195	2018	29
BM	SU	0	car068	2007	207
BM	SU	4	18-13983	2019	107
BM	SU	0	car070	2008	237
BM	SU	3	car188	2017	32
BM	SU	2	car143	2011	216
BM	SU	1	car071	2007	179
BM	SU	0	car040	2005	72
BM	SU	1	car113	2009	187
BM	SU	3	car206	2017	34
BM	SU	4	car217	2018	44
BM	SU	0	car012	2004	40
BM	SU	3	car188	2015	45
BM	SU	3	car190	2020	63
BM	SU	3	car196	2016	40
BM	SU	2	car163	2013	101
BM	SU	2	car143	2012	214
BM	SU	0	car075	2008	221
BM	SU	1	car111	2009	194
BM	SU	1	car074	2007	202
BM	SU	2	car158	2013	216
BM	SU	2	car181	2015	50
BM	SU	1	car074	2008	212
BM	SU	0	car007	2005	3
BM	SU	2	car189	2016	44
BM	SU	3	car213	2019	13
BM	SU	3	car196	2018	20
BM	SU	1	car142	2011	218
BM	SU	3	car196	2020	75
BM	SU	3	car206	2018	30
BM	SU	2	car146	2013	187
BM	SU	2	car175	2016	35
BM	SU	2	car181	2016	22
BM	SU	3	car188	2016	28
BM	SU	0	car069	2008	145
BM	SU	4	19-1758	2020	67
BM	SU	4	18-13990	2019	53
BM	SU	4	18-13983	2020	109
BM	SU	2	car143	2013	210
BM	SU	0	car042	2006	24
BM	SU	2	car143	2014	217
BM	SU	0	car007	2004	4
BM	SU	2	car182	2017	47
BM	SU	0	car075	2007	161
BM	SU	1	car114	2009	137
BM	SU	1	car114	2010	154
BM	SU	3	car205	2017	23
BM	SU	0	car040	2006	65
BM	SU	2	car163	2015	152
BM	SU	3	car206	2019	32
BM	SU	2	car189	2017	33
BM	SU	2	car175	2017	36
BM	SU	0	car069	2007	162
BM	SU	1	car141	2011	210
BM	SU	0	car012	2003	3
BM	SU	1	car113	2010	148
BM	SU	0	car007	2006	2
BM	SU	3	car214	2018	21
BM	SU	3	car205	2018	18
BM	SU	2	car163	2014	153
BM	SU	4	19-1762	2020	78
BM	SU	0	car068	2008	198
BM	SU	0	car038	2004	4
BM	SU	3	car194	2017	40
BM	SU	1	car071	2008	171
BM	SU	2	car182	2016	57
BM	SU	2	car166	2014	104
BM	SU	3	car190	2017	23
BM	SU	0	car007	2003	3
BM	SU	1	car111	2010	26
BM	SU	3	car196	2017	38
BM	SU	3	car195	2017	35
BM	SU	3	car194	2020	65
BM	SU	2	car158	2012	218
BM	SU	2	car175	2015	33
BM	SU	3	car195	2016	28
BM	SU	3	car190	2016	25
BM	SU	1	car125	2010	149
BM	SU	3	car190	2015	16
BM	SU	3	car205	2019	22
BM	SU	3	car216	2018	43
BM	SU	1	car112	2009	30
BM	SU	2	car152	2011	29
BM	SU	1	car110	2010	125
BM	SU	0	car038	2005	3
BM	SU	3	car194	2018	27
BM	SU	0	car038	2006	2
BM	SU	0	car041	2005	70
BM	SU	0	car070	2007	188
BM	SU	0	car007	2007	2
BM	SU	2	car146	2012	209
BM	SU	3	car194	2016	35
BM	SU	2	car182	2015	59
BM	SU	0	car041	2006	1
BM	SU	2	car181	2017	40
BM	SU	2	car189	2015	39
BM	SU	4	car217	2019	38
BM	SU	2	car166	2013	159
BM	SU	0	car042	2005	71
BM	SU	4	19-1756	2020	56
BM	SU	3	car213	2018	18
BM	SU	3	car213	2020	10
BM	RU	0	car041	2005	62
BM	RU	0	car075	2007	234
BM	RU	1	car111	2009	197
BM	RU	1	car113	2009	203
BM	RU	3	car194	2017	25
BM	RU	4	19-1756	2020	62
BM	RU	2	car190	2015	33
BM	RU	1	car113	2010	198
BM	RU	4	19-1758	2020	76
BM	RU	3	car205	2018	23
BM	RU	3	car194	2020	57
BM	RU	3	car205	2019	17
BM	RU	1	car071	2007	203
BM	RU	2	car181	2016	38
BM	RU	0	car070	2007	249
BM	RU	2	car190	2020	50
BM	RU	3	car195	2016	49
BM	RU	3	car196	2016	35
BM	RU	1	car114	2009	83
BM	RU	1	car111	2010	53
BM	RU	2	car175	2016	45
BM	RU	3	car205	2017	40
BM	RU	2	car181	2017	52
BM	RU	2	car190	2016	41
BM	RU	0	car007	2005	2
BM	RU	3	car213	2020	17
BM	RU	2	car143	2012	221
BM	RU	2	car189	2017	48
BM	RU	4	18-13983	2020	82
BM	RU	3	car217	2019	45
BM	RU	2	car182	2017	59
BM	RU	3	car188	2015	26
BM	RU	0	car040	2005	73
BM	RU	2	car181	2015	59
BM	RU	3	car194	2016	33
BM	RU	3	car206	2017	41
BM	RU	0	car012	2004	47
BM	RU	2	car189	2016	46
BM	RU	3	car196	2018	57
BM	RU	4	19-1762	2020	69
BM	RU	0	car069	2008	120
BM	RU	3	car216	2018	29
BM	RU	2	car189	2015	51
BM	RU	0	car042	2005	73
BM	RU	3	car195	2017	44
BM	RU	2	car182	2015	50
BM	RU	2	car146	2012	193
BM	RU	2	car182	2016	54
BM	RU	0	car007	2006	2
BM	RU	1	car071	2008	159
BM	RU	2	car175	2017	37
BM	RU	2	car143	2014	206
BM	RU	3	car188	2017	34
BM	RU	2	car166	2014	127
BM	RU	4	18-13983	2019	78
BM	RU	0	car007	2004	3
BM	RU	0	car012	2003	4
BM	RU	0	car007	2007	3
BM	RU	0	car007	2003	3
BM	RU	0	car069	2007	212
BM	RU	0	car070	2008	245
BM	RU	1	car112	2009	35
BM	RU	0	car038	2006	2
BM	RU	2	car190	2017	21
BM	RU	1	car142	2011	145
BM	RU	3	car206	2019	32
BM	RU	1	car114	2010	165
BM	RU	3	car213	2019	29
BM	RU	0	car038	2005	2
BM	RU	1	car110	2009	145
BM	RU	4	18-13990	2019	61
BM	RU	2	car166	2013	178
BM	RU	3	car196	2017	41
BM	RU	2	car163	2014	339
BM	RU	1	car125	2010	168
BM	RU	3	car196	2020	70
BM	RU	2	car158	2013	213
BM	RU	0	car007	2002	3
BM	RU	0	car040	2006	64
BM	RU	0	car075	2008	229
BM	RU	2	car143	2011	172
BM	RU	0	car038	2004	3
BM	RU	1	car074	2007	216
BM	RU	3	car213	2018	29
BM	RU	3	car188	2016	40
BM	RU	3	car214	2018	10
BM	RU	0	car068	2007	199
BM	RU	1	car074	2008	231
BM	RU	3	car195	2018	48
BM	RU	3	car206	2018	47
BM	RU	2	car143	2013	209
BM	RU	3	car217	2018	47
BM	RU	0	car068	2008	167
BM	RU	2	car146	2013	184
BM	RU	2	car163	2015	9
BM	RU	2	car158	2012	201
BM	RU	1	car110	2010	168
BM	RU	3	car194	2018	30
BM	RU	2	car163	2013	61
BM	RU	1	car141	2011	204
BM	RU	2	car175	2015	55
BM	WI	2	car158	2011	103
BM	WI	2	car143	2012	633
BM	WI	2	car175	2014	130
BM	WI	0	car069	2006	99
BM	WI	1	car112	2009	28
BM	WI	4	19-1756	2020	139
BM	WI	4	18-13983	2018	85
BM	WI	4	car215	2017	66
BM	WI	0	car070	2008	499
BM	WI	4	car217	2017	64
BM	WI	2	car182	2016	164
BM	WI	4	19-1758	2019	100
BM	WI	0	car041	2005	75
BM	WI	0	car041	2004	30
BM	WI	4	car216	2017	56
BM	WI	3	car188	2014	24
BM	WI	0	car070	2006	92
BM	WI	1	car110	2008	331
BM	WI	1	car110	2009	450
BM	WI	3	car205	2019	10
BM	WI	1	car071	2008	243
BM	WI	4	19-1758	2020	113
BM	WI	0	car012	2004	186
BM	WI	1	car141	2010	236
BM	WI	0	car070	2007	739
BM	WI	3	car190	2019	78
BM	WI	3	car189	2014	26
BM	WI	2	car175	2017	74
BM	WI	2	car143	2014	360
BM	WI	4	19-1762	2020	98
BM	WI	3	car196	2020	126
BM	WI	1	car071	2006	84
BM	WI	1	car113	2008	331
BM	WI	0	car038	2005	5
BM	WI	2	car158	2013	27
BM	WI	2	car182	2014	48
BM	WI	3	car205	2016	33
BM	WI	2	car181	2017	169
BM	WI	2	car167	2012	130
BM	WI	0	car040	2005	221
BM	WI	4	18-13983	2020	128
BM	WI	3	car188	2016	112
BM	WI	3	car206	2017	153
BM	WI	0	car042	2005	219
BM	WI	0	car069	2007	662
BM	WI	3	car194	2017	150
BM	WI	1	car071	2007	723
BM	WI	3	car188	2015	167
BM	WI	4	car214	2018	8
BM	WI	4	19-1756	2019	92
BM	WI	3	car194	2018	87
BM	WI	3	car213	2019	104
BM	WI	4	19-1762	2019	84
BM	WI	2	car182	2015	158
BM	WI	0	car038	2004	11
BM	WI	0	car068	2007	731
BM	WI	1	car125	2010	381
BM	WI	2	car146	2012	607
BM	WI	2	car166	2012	232
BM	WI	3	car195	2015	46
BM	WI	0	car069	2008	173
BM	WI	1	car142	2011	622
BM	WI	2	car163	2015	120
BM	WI	3	car183	2014	36
BM	WI	3	car206	2019	11
BM	WI	0	car007	2007	6
BM	WI	0	car007	2005	8
BM	WI	4	18-13990	2019	227
BM	WI	1	car114	2009	507
BM	WI	1	car074	2007	601
BM	WI	3	car205	2018	150
BM	WI	0	car075	2007	699
BM	WI	2	car175	2015	122
BM	WI	3	car194	2020	94
BM	WI	2	car146	2011	119
BM	WI	3	car196	2018	81
BM	WI	3	car190	2015	173
BM	WI	0	car042	2004	28
BM	WI	3	car190	2020	119
BM	WI	0	car007	2003	21
BM	WI	3	car206	2018	150
BM	WI	1	car112	2008	203
BM	WI	3	car196	2019	92
BM	WI	0	car040	2004	30
BM	WI	2	car181	2014	53
BM	WI	4	car217	2018	169
BM	WI	3	car196	2016	156
BM	WI	0	car038	2006	8
BM	WI	1	car074	2008	395
BM	WI	3	car213	2017	57
BM	WI	3	car190	2014	23
BM	WI	3	car213	2020	17
BM	WI	1	car111	2010	82
BM	WI	0	car007	2004	16
BM	WI	1	car113	2009	610
BM	WI	0	car012	2003	161
BM	WI	2	car163	2013	512
BM	WI	2	car163	2012	231
BM	WI	2	car181	2016	176
BM	WI	3	car205	2017	150
BM	WI	4	car216	2018	64
BM	WI	2	car143	2013	632
BM	WI	3	car190	2017	143
BM	WI	1	car113	2010	448
BM	WI	1	car125	2009	168
BM	WI	2	car143	2011	613
BM	WI	3	car196	2017	168
BM	WI	3	car195	2017	162
BM	WI	3	car206	2016	40
BM	WI	0	car068	2006	103
BM	WI	0	car075	2008	507
BM	WI	4	18-13990	2018	84
BM	WI	4	car214	2017	55
BM	WI	2	car166	2013	535
BM	WI	3	car195	2018	68
BM	WI	2	car182	2017	180
BM	WI	3	car194	2016	155
BM	WI	1	car074	2006	81
BM	WI	3	car189	2016	125
BM	WI	1	car141	2011	334
BM	WI	2	car166	2014	395
BM	WI	1	car111	2008	322
BM	WI	0	car012	2002	337
BM	WI	1	car114	2010	454
BM	WI	1	car110	2010	466
BM	WI	2	car152	2010	109
BM	WI	3	car213	2018	144
BM	WI	3	car188	2017	181
BM	WI	2	car163	2014	666
BM	WI	3	car190	2016	152
BM	WI	3	car189	2015	140
BM	WI	1	car111	2009	603
BM	WI	2	car181	2015	172
BM	WI	0	car075	2006	87
BM	WI	1	car142	2010	226
BM	WI	2	car158	2012	582
BM	WI	2	car146	2013	601
BM	WI	1	car114	2008	306
BM	WI	3	car194	2015	58
BM	WI	0	car038	2003	2
BM	WI	4	car217	2019	156
BM	WI	4	18-13983	2019	306
BM	WI	0	car007	2006	8
BM	WI	2	car146	2010	229
BM	WI	0	car007	2002	7
BM	WI	2	car175	2016	139
BM	WI	3	car189	2017	172
BM	WI	0	car068	2008	486
BM	WI	3	car194	2019	96
BM	WI	3	car195	2016	165
BM	WI	2	car143	2010	206
BM	WI	3	car196	2015	58
